product_uid,brand,name,slug,category,product_card_image_path,thumbnail_url,total_files,revit_files,sketchup_files,autocad_3d_files,autocad_2d_files,obj_files,fbx_files,three_ds_files,dwg_files,dxf_files,stl_files,other_files
herman_miller:oe1_communal_tables,herman_miller,oe1 communal tables,oe1_communal_tables,,images/herman_miller/oe1_communal_tables/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,,3,1,1,1,0,0,0,0,0,0,0,0
herman_miller:oe1_mobile_easel,herman_miller,oe1 mobile easel,oe1_mobile_easel,,images/herman_miller/oe1_mobile_easel/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,,3,1,1,1,0,0,0,0,0,0,0,0
herman_miller:oe1_sit_to_stand_table,herman_miller,oe1 sit to stand table,oe1_sit_to_stand_table,,images/herman_miller/oe1_sit_to_stand_table/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,,6,2,2,2,0,0,0,0,0,0,0,0
herman_miller:product_models,herman_miller,product models,product_models,,images/herman_miller/product_models/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,,5,2,1,1,1,0,0,0,0,0,0,0
herman_miller:renew_sit_to_stand_tables,herman_miller,renew sit to stand tables,renew_sit_to_stand_tables,,images/herman_miller/renew_sit_to_stand_tables/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,,35,23,6,6,0,0,0,0,0,0,0,0
herman_miller:rohde_easy_chair,herman_miller,rohde easy chair,rohde_easy_chair,,images/herman_miller/rohde_easy_chair/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,,3,1,1,1,0,0,0,0,0,0,0,0
herman_miller:rohde_paldao_table,herman_miller,rohde paldao table,rohde_paldao_table,,images/herman_miller/rohde_paldao_table/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,,8,2,3,3,0,0,0,0,0,0,0,0
herman_miller:sayl_chairs,herman_miller,sayl chairs,sayl_chairs,,images/herman_miller/sayl_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,,21,3,12,6,0,0,0,0,0,0,0,0
herman_miller:spout_sit_to_stand_table,herman_miller,spout sit to stand table,spout_sit_to_stand_table,,images/herman_miller/spout_sit_to_stand_table/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,,3,1,1,1,0,0,0,0,0,0,0,0
herman_miller:striad_sofas,herman_miller,striad sofas,striad_sofas,,images/herman_miller/striad_sofas/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,,2,1,0,1,0,0,0,0,0,0,0,0
herman_miller:verus_chairs,herman_miller,verus chairs,verus_chairs,,images/herman_miller/verus_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,,25,3,12,10,0,0,0,0,0,0,0,0
herman_miller:verus_side_chairs,herman_miller,verus side chairs,verus_side_chairs,,images/herman_miller/verus_side_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,,7,1,3,3,0,0,0,0,0,0,0,0
herman_miller:zeph_chair,herman_miller,zeph chair,zeph_chair,,images/herman_miller/zeph_chair/HMI_Zeph_Chair_Armless_mdl_c.jpg,,5,1,2,2,0,0,0,0,0,0,0,0
herman_miller:zeph_stool,herman_miller,zeph stool,zeph_stool,,images/herman_miller/zeph_stool/th_prd_zeph_chair_office_chair_fn.jpg,,5,1,2,2,0,0,0,0,0,0,0,0
naughtone:knot_side_table,naughtone,knot side table,knot_side_table,,,,4,0,2,2,0,0,0,0,0,0,0,0
