sha256,product_uid,variant,file_type,furniture_type,subtype,tags_csv,brand,name
e79c8627cb901f6bc86c3a154f2bdf50457a89cc26a1278eb494728dc68257a8,herman_miller:cosm_chairs,cosm_chair_high_back_height_adjustable_arms,autocad_3d,Chair,,,herman_miller,cosm chairs
747c842c1358a9476de9a3cbb1e88047969b25164ddae235a8dbf33f3a054724,herman_miller:cosm_chairs,cosm_chair_high_back_height_adjustable_arms,sketchup,Chair,,,herman_miller,cosm chairs
297c973cfc47b2853d5c4b9348856d613ea02347f6e6ffaf6eda9126894b75e9,herman_miller:cosm_chairs,cosm_chair_high_back_leaf_arms,autocad_3d,Chair,,,herman_miller,cosm chairs
58c58a8741889776d597ff510ec2e27df7b8271dca449a0d2802193e0294b52a,herman_miller:cosm_chairs,cosm_chair_high_back_leaf_arms,sketchup,Chair,,,herman_miller,cosm chairs
275f21149dc91a7d95321cb58fc6354f5bee8e4319d7d92b6b139acf84bc27b5,herman_miller:cosm_chairs,cosm_chair_low_back_armless,autocad_3d,Chair,,,herman_miller,cosm chairs
6eab6e77727d4cca3143febf859c1fa215a4c30dceb2092a89a82deadbcf4411,herman_miller:cosm_chairs,cosm_chair_low_back_armless,sketchup,Chair,,,herman_miller,cosm chairs
275a0c88ec4ae3e8bf17a1d78aadb59f01e367b0f3ef833e76d8403df95b15cb,herman_miller:cosm_chairs,cosm_chair_low_back_fixed_arms,autocad_3d,Chair,,,herman_miller,cosm chairs
7f9309062790ee8ca7b855eed31106fed0ad2ffcc8201fae64065805d1504d91,herman_miller:cosm_chairs,cosm_chair_low_back_fixed_arms,sketchup,Chair,,,herman_miller,cosm chairs
044f833f3b2743f469bca1a6c7b9d16119e5daf0f4dbeeb5ae92969cff279651,herman_miller:cosm_chairs,cosm_chair_low_back_height_adjustable_arms,autocad_3d,Chair,,,herman_miller,cosm chairs
49f6475914d5268f839e159c396ae340649841979b72208aae18c061a1f1e257,herman_miller:cosm_chairs,cosm_chair_low_back_height_adjustable_arms,sketchup,Chair,,,herman_miller,cosm chairs
374f33dbb109072011f63cf7da6935d223c9706e3d48c2ce9ee424af4d8f246f,herman_miller:cosm_chairs,cosm_chair_low_back_leaf_arms,autocad_3d,Chair,,,herman_miller,cosm chairs
875d057f24396ea619aaef32f224aa505beb85b293191de693f5957e17179818,herman_miller:cosm_chairs,cosm_chair_low_back_leaf_arms,sketchup,Chair,,,herman_miller,cosm chairs
2fc7a009bf519d1345b547b618e12f97f84eea6816966a9538095828056ea365,herman_miller:cosm_chairs,cosm_chair_mid_back_armless,autocad_3d,Chair,,,herman_miller,cosm chairs
e288c0eeff8c4a558023e1cea95ae8e9f050626b3afc47912fb7fb2444923766,herman_miller:cosm_chairs,cosm_chair_mid_back_armless,sketchup,Chair,,,herman_miller,cosm chairs
9e5cabc62c625965c0b295d3f98227995fc58014e3e0bc0a39dbef818957e494,herman_miller:cosm_chairs,cosm_chair_mid_back_fixed_arms,autocad_3d,Chair,,,herman_miller,cosm chairs
9f3aa296a826f4ece31e503a4c4057e3248357dcb3df0dc93312bc58577fdd02,herman_miller:cosm_chairs,cosm_chair_mid_back_fixed_arms,sketchup,Chair,,,herman_miller,cosm chairs
0cc265094c43629aed702b4b0062f91d6330f77ac9dbb192681f542edaae3c8d,herman_miller:cosm_chairs,cosm_chair_mid_back_height_adjustable_arms,autocad_3d,Chair,,,herman_miller,cosm chairs
f0f0305577cafb61e8f94e61d25f3e64a7ba2e73928c4dbbf225417dbb370137,herman_miller:cosm_chairs,cosm_chair_mid_back_height_adjustable_arms,sketchup,Chair,,,herman_miller,cosm chairs
