product_uid,sha256,variant,file_type,ext,stored_path,size_bytes,source_url,source_page,matched_image_path,brand,product_name,slug,category,product_card_image_path,thumbnail_url
herman_miller:aeron_chairs,20ff764ce7cb8bc0e7aa448a501302be87e76801b8b5b4c50bebfb407b32cd78,aeron_chair_a_size_armless,sketchup,.skp,herman_miller/aeron-chairs/aeron_chair_a_size_armless/sketchup/HMI_Aeron_Chair_A_Size_Armless.skp,4903810,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,a753071117255ffabcc53382624f5435bcc4812466d0e0e1e8d9a2d0239bbf4d,aeron_chair_a_size_fixed_arms,sketchup,.skp,herman_miller/aeron-chairs/aeron_chair_a_size_fixed_arms/sketchup/HMI_Aeron_Chair_A_Size_Fixed_Arms.skp,5263873,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,9d6cad4e8d49c238c691d779f8c649de9b9b670fe7f08c3eb83d46111b666d94,aeron_chair_a_size_fully_adjustable_arms,sketchup,.skp,herman_miller/aeron-chairs/aeron_chair_a_size_fully_adjustable_arms/sketchup/HMI_Aeron_Chair_A_Size_Fully_Adjustable_Arms.skp,5313348,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,214baeb2a4d1aadf356aa144ffc071ea2c93f9ddb3de58e0003ee2737368ae80,aeron_chair_a_size_height_adjustable_arms,sketchup,.skp,herman_miller/aeron-chairs/aeron_chair_a_size_height_adjustable_arms/sketchup/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms.skp,5305618,,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,e05d3358cab94967844d6195c9e83c1aaca7e0e515bf9f1381dc82407466a9e7,aeron_chair_b_size_armless,sketchup,.skp,herman_miller/aeron-chairs/aeron_chair_b_size_armless/sketchup/HMI_Aeron_Chair_B_Size_Armless.skp,4936611,,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_B_Size_Armless_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,b61c2bd4d6eae2c1cf1c6aa460afc57419fe561e17d90fd26518453c40a293a3,aeron_chair_b_size_fixed_arms,sketchup,.skp,herman_miller/aeron-chairs/aeron_chair_b_size_fixed_arms/sketchup/HMI_Aeron_Chair_B_Size_Fixed_Arms.skp,5298260,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,00d8b8be078a5a4d925509f92850f3213a10861073217091703312ddda9d2954,aeron_chair_b_size_fully_adjustable_arms,sketchup,.skp,herman_miller/aeron-chairs/aeron_chair_b_size_fully_adjustable_arms/sketchup/HMI_Aeron_Chair_B_Size_Fully_Adjustable_Arms.skp,5326396,,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_B_Size_Fully_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,4b95beb6c32eb2d048fe5666a815171d6f736589131fcbf23293134760d59513,aeron_chair_b_size_height_adjustable_arms,sketchup,.skp,herman_miller/aeron-chairs/aeron_chair_b_size_height_adjustable_arms/sketchup/HMI_Aeron_Chair_B_Size_Height_Adjustable_Arms.skp,5350262,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,a62323e057ef3d6b5354bf7765e626dfb22c5c8a67ad5739c0323d8a4b59221a,aeron_chair_c_size_armless,sketchup,.skp,herman_miller/aeron-chairs/aeron_chair_c_size_armless/sketchup/HMI_Aeron_Chair_C_Size_Armless.skp,4957072,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:aeron_chairs,3ed13f148cb93e8aaa5562b9fcebef8670e66f56506b2807cb73486da3da62c8,aeron_chair_c_size_fixed_arms,sketchup,.skp,herman_miller/aeron-chairs/aeron_chair_c_size_fixed_arms/sketchup/HMI_Aeron_Chair_C_Size_Fixed_Arms.skp,5271426,,,images/herman_miller/aeron_chairs/GGR_Leeway_Stool_Bar_Height_Wood_Seat_mdl_c.jpg.rendition.480.360.jpg,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
