product_uid,brand,name,slug,category,product_card_image_path,thumbnail_url,product_url
herman_miller:rohde_easy_chair,herman_miller,rohde easy chair,rohde_easy_chair,,images/herman_miller/rohde_easy_chair/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/h/hmi_rohde_easy_chairs/hmi_rohde_easy_chair_rfa.zip/HMI_Hmi_Rohde_Easy_Chair_Rfa.zip_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/HMI-Rohde-Easy-Chair-rfa.zip/
herman_miller:rohde_paldao_table,herman_miller,rohde paldao table,rohde_paldao_table,,images/herman_miller/rohde_paldao_table/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/r/rohde_paldao_side_tables/rohde_paldao_side_table_low/HMI_Rohde_Paldao_Side_Table_Low_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/rohde-paldao-side-table-low/
herman_miller:sayl_chairs,herman_miller,sayl chairs,sayl_chairs,,images/herman_miller/sayl_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/s/sayl_chairs/sayl_chair_upholstered_mid_back_height_adjustable_arms/HMI_Sayl_Chair_Upholstered_Mid_Back_Height_Adjustable_Arms_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/sayl-chair-upholstered-mid-back-height-adjustable-arms/
herman_miller:spout_sit_to_stand_table,herman_miller,spout sit to stand table,spout_sit_to_stand_table,,images/herman_miller/spout_sit_to_stand_table/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/h/hmi_spout_sit_to_stand_tables/hmi_spout_sit_to_stand_table_rfa.zip/HMI_Hmi_Spout_Sit_to_Stand_Table_Rfa.zip_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/HMI-Spout-Sit-to-Stand-Table-rfa.zip/
herman_miller:striad_sofas,herman_miller,striad sofas,striad_sofas,,images/herman_miller/striad_sofas/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/s/striad_sofas/striad_sofa_low_back_2_seat_armless_wire_base/HMI_Striad_Sofa_Low_Back_2_Seat_Armless_Wire_Base_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/striad-sofa-low-back-2-seat-armless-wire-base/
herman_miller:verus_chairs,herman_miller,verus chairs,verus_chairs,,images/herman_miller/verus_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/v/verus_chairs/verus_chair_upholstered_back_height_adjustable_arms/HMI_Verus_Chair_Upholstered_Back_Height_Adjustable_Arms_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/verus-chair-upholstered-back-height-adjustable-arms/
herman_miller:verus_side_chairs,herman_miller,verus side chairs,verus_side_chairs,,images/herman_miller/verus_side_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/v/verus_side_chairs/verus_side_chair_upholstered_back_fixed_arms/HMI_Verus_Side_Chair_Upholstered_Back_Fixed_Arms_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/verus-side-chair-upholstered-back-fixed-arms/
herman_miller:zeph_chair,herman_miller,zeph chair,zeph_chair,,images/herman_miller/zeph_chair/HMI_Zeph_Chair_Armless_mdl_c.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/z/zeph_chairs/zeph_chair_with_arms/HMI_Zeph_Chair_With_Arms_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/zeph-chair-with-arms/
herman_miller:zeph_stool,herman_miller,zeph stool,zeph_stool,,images/herman_miller/zeph_stool/th_prd_zeph_chair_office_chair_fn.jpg,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/z/zeph_stools/zeph_stool_with_arms/HMI_Zeph_Stool_With_Arms_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/zeph-stool-with-arms/
naughtone:knot_side_table,naughtone,knot side table,knot_side_table,,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/k/knot_side_tables/knot_side_table_round/NTO_Knot_Side_Table_Round_mdl_c.jpg.rendition.900.675.jpg,https://www.hermanmiller.com/en_gb/resources/3d-models-and-planning-tools/product-models/individual/knot-side-table-round/
