product_uid,variant,image_url,provider,score,rationale,status,width,height,content_hash,local_path,created_at,updated_at,is_primary,image_score
herman_miller:zeph_chair,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/z/zeph_chair/zeph_chair_with_arms/HMI_Zeph_Chair_With_Arms_mdl_c.jpg.rendition.100.140.jpg,herman_miller_product_page,10.0,Scraped from product page: product_image,pending,,,,images/herman_miller/zeph_chair/HMI_Zeph_Chair_With_Arms_mdl_c.jpg.rendition.100.140.jpg,1755390466,1755392889,0,0.0
herman_miller:zeph_chair,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/z/zeph_chair/zeph_chair_armless/HMI_Zeph_Chair_Armless_mdl_c.jpg,herman_miller_product_page,10.0,Scraped from product page: related_image,pending,,,,images/herman_miller/zeph_chair/HMI_Zeph_Chair_Armless_mdl_c.jpg,1755390466,1755392889,0,0.0
herman_miller:zeph_chair,,https://www.hermanmiller.com/content/dam/hmicom/app_assets/product_models/a/aeron_chairs/aeron_chair_b_size_fully_adjustable_arms/HMI_Aeron_Chair_B_Size_Fully_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,herman_miller_product_page,10.0,Scraped from product page: related_image,pending,,,,images/herman_miller/zeph_chair/HMI_Aeron_Chair_B_Size_Fully_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,1755390466,1755390466,0,0.0
herman_miller:zeph_stool,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_27108.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755387995,1755388067,0,0.0
herman_miller:zeph_stool,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_33268.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755387995,1755388067,0,0.0
herman_miller:zeph_stool,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_33264.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755387995,1755388067,0,0.0
herman_miller:zeph_stool,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_27044_RET.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755387995,1755388067,0,0.0
herman_miller:zeph_stool,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_27073_RET.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755387995,1755388067,0,0.0
herman_miller:zeph_stool,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_33289.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755387995,1755388067,0,0.0
herman_miller:zeph_stool,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_33291.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755387995,1755388067,0,0.0
herman_miller:zeph_stool,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_33305.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755387995,1755388067,0,0.0
herman_miller:zeph_stool,,https://www.hermanmiller.com/content/dam/hmi/hmidam/active/2022/06/03/HM_ZPH_33283.tif,herman_miller_api,10.0,Found via API search term: Zeph Chair,pending,,,,,1755387995,1755388067,0,0.0
herman_miller:zeph_stool,,https://www.hermanmiller.com/content/dam/hmicom/page_assets/products/categories/seating/sub_categories/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,herman_miller_comprehensive,8.0,Found via comprehensive search: model_image,pending,,,,images/herman_miller/zeph_stool/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,1755392904,1755392904,0,0.0
